title,director,cast,country,date_added,release_year,rating,duration,category
In the Tall Grass,Vincenzo Natali,"Patrick Wilson, Laysla De Oliveira, Avery Whitted, Harrison Gilbertson, Rachel Wilson, Will Buie Jr.","Canada, United States",04-Oct-19,2019,TV-MA,102 min,Horror Movies
The Red Sea Diving Resort,Gideon Raff,"Chris Evans, Michael Kenneth Williams, Haley Bennett, Alessandro Nivola, Michiel Huisman, Alex Hassell, Mark Ivanir, Chris Chalk, Greg Kinnear, Ben Kingsley",Canada,31-Jul-19,2019,TV-MA,130 min,Dramas
The Red Sea Diving Resort,Gideon Raff,"Chris Evans, Michael Kenneth Williams, Haley Bennett, Alessandro Nivola, Michiel Huisman, Alex Hassell, Mark Ivanir, Chris Chalk, Greg Kinnear, Ben Kingsley",Canada,31-Jul-19,2019,TV-MA,130 min,Thrillers
Pachamama,Juan Antin,"Adam Moussamih, Charli Birdgenau, Vlastra Vrana, Sonja Ball, Alexandre Harough","France, Luxembourg, Canada",07-Jun-19,2019,PG,71 min,Children
Pachamama,Juan Antin,"Adam Moussamih, Charli Birdgenau, Vlastra Vrana, Sonja Ball, Alexandre Harough","France, Luxembourg, Canada",07-Jun-19,2019,PG,71 min,Family Movies
The Silence,John R. Leonetti,"Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter, John Corbett, Kyle Breitkopf, Dempsey Bryk, Billy MacLellan","Canada, Germany",10-Apr-19,2019,PG-13,91 min,Horror Movies
The Silence,John R. Leonetti,"Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter, John Corbett, Kyle Breitkopf, Dempsey Bryk, Billy MacLellan","Canada, Germany",10-Apr-19,2019,PG-13,91 min,Thrillers
Maps to the Stars,David Cronenberg,"Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack, Olivia Williams, Sarah Gadon, Evan Bird, Niamh Wilson, Dawn Greenhalgh","Canada, Germany, France, United States",16-Dec-18,2014,R,112 min,Comedies
Maps to the Stars,David Cronenberg,"Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack, Olivia Williams, Sarah Gadon, Evan Bird, Niamh Wilson, Dawn Greenhalgh","Canada, Germany, France, United States",16-Dec-18,2014,R,112 min,Dramas
Angela's Christmas,Damien O’Connor,"Lucy O'Connell, Ruth Negga, Brendan Mullins, Malachy McCourt, Vivian Drew, Anya O'Connor, Janet Moran, Brian Gleeson, Pat Kinevane","Ireland, Canada",30-Nov-18,2018,TV-Y,30 min,Children
A Witches' Ball,Justin G. Dyck,"Morgan Neundorf, Karen Slater, Loukia Ioannou, Will Ennis, Renee Stein, Keith Cooper, Paul Mason, Lisa Scenna, Ashley Rogan",Canada,01-Oct-18,2017,PG,91 min,Family Movies
Angela's Christmas,Damien O’Connor,"Lucy O'Connell, Ruth Negga, Brendan Mullins, Malachy McCourt, Vivian Drew, Anya O'Connor, Janet Moran, Brian Gleeson, Pat Kinevane","Ireland, Canada",30-Nov-18,2018,TV-Y,30 min,Children
A Witches' Ball,Justin G. Dyck,"Morgan Neundorf, Karen Slater, Loukia Ioannou, Will Ennis, Renee Stein, Keith Cooper, Paul Mason, Lisa Scenna, Ashley Rogan",Canada,01-Oct-18,2017,PG,91 min,Family Movies
My Little Pony Equestria Girls: Rollercoaster of Friendship,Ishi Rudell,"Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Tegan Moss","United States, Canada",01-Oct-18,2018,TV-Y,44 min,Children
My Little Pony Equestria Girls: Rollercoaster of Friendship,Ishi Rudell,"Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Tegan Moss","United States, Canada",01-Oct-18,2018,TV-Y,44 min,Family Movies
One Last Shot,Mike Clattenburg,"Robb Wells, John Paul Tremblay, John Dunsworth",Canada,24-Aug-18,1998,TV-MA,31 min,Comedies
Kodachrome,Mark Raso,"Ed Harris, Jason Sudeikis, Elizabeth Olsen","Canada, United States",20-Apr-18,2018,TV-MA,105 min,Comedies
Kodachrome,Mark Raso,"Ed Harris, Jason Sudeikis, Elizabeth Olsen","Canada, United States",20-Apr-18,2018,TV-MA,105 min,Dramas
The Open House,"Matt Angel, Suzanne Coote","Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins, Aaron Abrams, Edward Olson, Katie Walder, Paul Rae","Canada, United States",19-Jan-18,2018,TV-MA,95 min,Horror Movies
The Open House,"Matt Angel, Suzanne Coote","Dylan Minnette, Piercey Dalton, Patricia Bethune, Sharif Atkins, Aaron Abrams, Edward Olson, Katie Walder, Paul Rae","Canada, United States",19-Jan-18,2018,TV-MA,95 min,Thrillers
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Chris Smith,Jim Carrey,"Canada, United States",17-Nov-17,2017,TV-MA,94 min,Documentaries
Barbie Dolphin Magic,Conrad Helten,"Erica Lindbeck, Shannon Chan-Kent, Kazumi Evans, Claire Corlett, Ciana Swales, Adrian Petriw, Maryke Hendrikse, Paul Dobson, Garry Chalk","United States, Canada",18-Sep-17,2017,TV-Y,64 min,Children
Barbie Dolphin Magic,Conrad Helten,"Erica Lindbeck, Shannon Chan-Kent, Kazumi Evans, Claire Corlett, Ciana Swales, Adrian Petriw, Maryke Hendrikse, Paul Dobson, Garry Chalk","United States, Canada",18-Sep-17,2017,TV-Y,64 min,Family Movies
Sahara,Pierre Coré,"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball","France, Canada",12-May-17,2017,TV-Y7,86 min,Children
Sahara,Pierre Coré,"Robert Naylor, Angela Galuppo, Daniel Brochu, Mark Hauser, Andrew Shaver, Mathew Mackay, Richard Dumont, Brady Moffatt, Rick Jones, Nadia Verrucci, Sonja Ball","France, Canada",12-May-17,2017,TV-Y7,86 min,Family Movies
Small Crimes,Evan Katz,"Nikolaj Coster-Waldau, Gary Cole, Molly Parker, Macon Blair, Pat Healy, Jacki Weaver, Robert Forster","Canada, United States",28-Apr-17,2017,TV-MA,95 min,"Dramas, Thrillers"
